"COUNTRY","Country","COMMODITY","Commodity","VARIABLE","Variable","TIME","Time","Value","Flag Codes","Flags"
"BRA","Brazil","WT","Wheat","QP","Production, kt (for Biofuels in millions of litres)","2015","2015",5423.046719,,
"BRA","Brazil","WT","Wheat","QP","Production, kt (for Biofuels in millions of litres)","2016","2016",5659.012314,,
"BRA","Brazil","WT","Wheat","QP","Production, kt (for Biofuels in millions of litres)","2017","2017",5642.048576,,
"BRA","Brazil","WT","Wheat","QP","Production, kt (for Biofuels in millions of litres)","2018","2018",5791.486958,,
"BRA","Brazil","WT","Wheat","QP","Production, kt (for Biofuels in millions of litres)","2019","2019",5733.874286,,
"BRA","Brazil","WT","Wheat","IM","Imports, kt (for Biofuels in millions of litres)","2015","2015",6087.431686,,
"BRA","Brazil","WT","Wheat","IM","Imports, kt (for Biofuels in millions of litres)","2016","2016",5993.280459,,
"BRA","Brazil","WT","Wheat","IM","Imports, kt (for Biofuels in millions of litres)","2017","2017",6129.840678,,
"BRA","Brazil","WT","Wheat","IM","Imports, kt (for Biofuels in millions of litres)","2018","2018",6207.311061,,
"BRA","Brazil","WT","Wheat","IM","Imports, kt (for Biofuels in millions of litres)","2019","2019",6404.896298,,
"BRA","Brazil","WT","Wheat","QC","Consumption, kt (for Biofuels in millions of litres)","2015","2015",10786.54304,,
"BRA","Brazil","WT","Wheat","QC","Consumption, kt (for Biofuels in millions of litres)","2016","2016",10908.36314,,
"BRA","Brazil","WT","Wheat","QC","Consumption, kt (for Biofuels in millions of litres)","2017","2017",11060.72438,,
"BRA","Brazil","WT","Wheat","QC","Consumption, kt (for Biofuels in millions of litres)","2018","2018",11221.08285,,
"BRA","Brazil","WT","Wheat","QC","Consumption, kt (for Biofuels in millions of litres)","2019","2019",11389.34296,,
"BRA","Brazil","WT","Wheat","ST","Ending stocks, kt (for Biofuels in millions of litres)","2015","2015",2061.036848,,
"BRA","Brazil","WT","Wheat","ST","Ending stocks, kt (for Biofuels in millions of litres)","2016","2016",2107.988531,,
"BRA","Brazil","WT","Wheat","ST","Ending stocks, kt (for Biofuels in millions of litres)","2017","2017",2115.826122,,
"BRA","Brazil","WT","Wheat","ST","Ending stocks, kt (for Biofuels in millions of litres)","2018","2018",2183.864684,,
"BRA","Brazil","WT","Wheat","ST","Ending stocks, kt (for Biofuels in millions of litres)","2019","2019",2217.266363,,
"BRA","Brazil","WT","Wheat","EX","Exports, kt (for Biofuels in millions of litres)","2015","2015",690.6286127,,
"BRA","Brazil","WT","Wheat","EX","Exports, kt (for Biofuels in millions of litres)","2016","2016",696.9779458,,
"BRA","Brazil","WT","Wheat","EX","Exports, kt (for Biofuels in millions of litres)","2017","2017",703.3272788,,
"BRA","Brazil","WT","Wheat","EX","Exports, kt (for Biofuels in millions of litres)","2018","2018",709.6766118,,
"BRA","Brazil","WT","Wheat","EX","Exports, kt (for Biofuels in millions of litres)","2019","2019",716.0259449,,
"BRA","Brazil","WT","Wheat","NT","Trade balance, kt (for Biofuels in millions of litres)","2015","2015",-5396.803074,,
"BRA","Brazil","WT","Wheat","NT","Trade balance, kt (for Biofuels in millions of litres)","2016","2016",-5296.302513,,
"BRA","Brazil","WT","Wheat","NT","Trade balance, kt (for Biofuels in millions of litres)","2017","2017",-5426.513399,,
"BRA","Brazil","WT","Wheat","NT","Trade balance, kt (for Biofuels in millions of litres)","2018","2018",-5497.634449,,
"BRA","Brazil","WT","Wheat","NT","Trade balance, kt (for Biofuels in millions of litres)","2019","2019",-5688.870354,,
"BRA","Brazil","WT","Wheat","AH","Area harvested, 000 ha","2015","2015",2085.769973,,
"BRA","Brazil","WT","Wheat","AH","Area harvested, 000 ha","2016","2016",2134.13905,,
"BRA","Brazil","WT","Wheat","AH","Area harvested, 000 ha","2017","2017",2103.092626,,
"BRA","Brazil","WT","Wheat","AH","Area harvested, 000 ha","2018","2018",2125.098932,,
"BRA","Brazil","WT","Wheat","AH","Area harvested, 000 ha","2019","2019",2086.622136,,
"BRA","Brazil","WT","Wheat","FE","Feed, kt","2015","2015",281.7359193,,
"BRA","Brazil","WT","Wheat","FE","Feed, kt","2016","2016",275.1590968,,
"BRA","Brazil","WT","Wheat","FE","Feed, kt","2017","2017",277.1978268,,
"BRA","Brazil","WT","Wheat","FE","Feed, kt","2018","2018",277.4943704,,
