"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","P3_P5","Domestic demand","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,6064933,,
"BRA","Brazil","P3_P5","Domestic demand","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,6244271,,
"BRA","Brazil","P3_P5","Domestic demand","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,6538182,,
"BRA","Brazil","P3_P5","Domestic demand","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,6976559,,
"BRA","Brazil","P51","Gross fixed capital formation","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,1069397,,
"BRA","Brazil","P51","Gross fixed capital formation","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,973271,,
"BRA","Brazil","P51","Gross fixed capital formation","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,958779,,
"BRA","Brazil","P51","Gross fixed capital formation","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,1057409,,
"BRA","Brazil","P31S14","Final consumption expenditure of households","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,3747870,,
"BRA","Brazil","P31S14","Final consumption expenditure of households","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,3939208,,
"BRA","Brazil","P31S14","Final consumption expenditure of households","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,4156152,,
"BRA","Brazil","P31S14","Final consumption expenditure of households","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,4423548,,
"BRA","Brazil","P3S13","Final consumption expenditure of general government","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,1185776,,
"BRA","Brazil","P3S13","Final consumption expenditure of general government","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,1277645,,
"BRA","Brazil","P3S13","Final consumption expenditure of general government","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,1327758,,
"BRA","Brazil","P3S13","Final consumption expenditure of general government","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,1393480,,
"BRA","Brazil","P7","Imports of goods and services","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,842614,,
"BRA","Brazil","P7","Imports of goods and services","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,756520,,
"BRA","Brazil","P7","Imports of goods and services","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,777137,,
"BRA","Brazil","P7","Imports of goods and services","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,997474,,
"BRA","Brazil","D21_D31","Taxes less subsidies on products","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,840186,,
"BRA","Brazil","D21_D31","Taxes less subsidies on products","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,849506,,
"BRA","Brazil","D21_D31","Taxes less subsidies on products","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,913553,,
"BRA","Brazil","D21_D31","Taxes less subsidies on products","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,992991,,
"BRA","Brazil","D12VJ","Information and communication (ISIC rev4)","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,16576,,
"BRA","Brazil","D12VJ","Information and communication (ISIC rev4)","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,18089,,
"BRA","Brazil","D12VJ","Information and communication (ISIC rev4)","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,18799,,
"BRA","Brazil","D12VJ","Information and communication (ISIC rev4)","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,19713,,
"BRA","Brazil","D12VL","Real estate activities (ISIC rev 4)","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,1335,,
"BRA","Brazil","D12VL","Real estate activities (ISIC rev 4)","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,1482,,
"BRA","Brazil","D12VL","Real estate activities (ISIC rev 4)","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,1733,,
"BRA","Brazil","D12VL","Real estate activities (ISIC rev 4)","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,1670,,
"BRA","Brazil","D11VB_E","Industry, including energy (ISIC rev4)","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,360825,,
"BRA","Brazil","D11VB_E","Industry, including energy (ISIC rev4)","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,368346,,
"BRA","Brazil","D11VB_E","Industry, including energy (ISIC rev4)","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,375372,,
"BRA","Brazil","D11VB_E","Industry, including energy (ISIC rev4)","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,390301,,
"BRA","Brazil","D1VF","Construction (ISIC rev4)","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,126609,,
"BRA","Brazil","D1VF","Construction (ISIC rev4)","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,112487,,
"BRA","Brazil","D1VF","Construction (ISIC rev4)","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,103928,,
"BRA","Brazil","D1VF","Construction (ISIC rev4)","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,104570,,
"BRA","Brazil","D1VJ","Information and communication (ISIC rev4)","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,81411,,
"BRA","Brazil","D1VJ","Information and communication (ISIC rev4)","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,85853,,
"BRA","Brazil","D1VJ","Information and communication (ISIC rev4)","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,89531,,
"BRA","Brazil","D1VJ","Information and communication (ISIC rev4)","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,94875,,
"BRA","Brazil","P51N112","Intellectual property product","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,118958,,
"BRA","Brazil","P51N112","Intellectual property product","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,112999,,
"BRA","Brazil","P51N112","Intellectual property product","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,121564,,
"BRA","Brazil","P51N112","Intellectual property product","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,131516,,
"BRA","Brazil","D1VK","Financial and insurance activities (ISIC rev4)","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,143243,,
"BRA","Brazil","D1VK","Financial and insurance activities (ISIC rev4)","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,156766,,
"BRA","Brazil","D1VK","Financial and insurance activities (ISIC rev4)","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,162747,,
