"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-01","Jan-2015","IDX","Index","0","Units","2010_100","2010=100",102.3768,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-02","Feb-2015","IDX","Index","0","Units","2010_100","2010=100",102.1953,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-03","Mar-2015","IDX","Index","0","Units","2010_100","2010=100",106.0745,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-04","Apr-2015","IDX","Index","0","Units","2010_100","2010=100",94.42778,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-05","May-2015","IDX","Index","0","Units","2010_100","2010=100",98.55822,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-06","Jun-2015","IDX","Index","0","Units","2010_100","2010=100",101.4391,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-07","Jul-2015","IDX","Index","0","Units","2010_100","2010=100",99.74034,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units","2010_100","2010=100",98.63967,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units","2010_100","2010=100",103.1122,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units","2010_100","2010=100",95.64946,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units","2010_100","2010=100",97.32956,,
