Mes/Ano;Ratio
jan/15;6.8
fev/15;7.4
mar/15;7.9
abr/15;8
mai/15;8.1
jun/15;8.3
jul/15;8.5
ago/15;8.7
set/15;8.9
out/15;8.9
nov/15;9
dez/15;8.9
jan/16;9.5
fev/16;10.2
mar/16;10.9
abr/16;11.2
mai/16;11.2
jun/16;11.3
jul/16;11.6
ago/16;11.8
set/16;11.8
out/16;11.8
nov/16;11.8
dez/16;12
jan/17;12.6
fev/17;13.2
mar/17;13.7
abr/17;13.6
mai/17;13.3
jun/17;13
jul/17;12.8
ago/17;12.6
set/17;12.4
out/17;12.2
nov/17;12
dez/17;11.8
jan/18;12.2
fev/18;12.6
mar/18;13.1
abr/18;12.9
mai/18;12.7
jun/18;12.4
jul/18;12.3
ago/18;12.1
set/18;11.9
out/18;11.7
nov/18;11.6
dez/18;11.6
jan/19;12
fev/19;12.4
mar/19;12.7
abr/19;12.5
mai/19;12.3
jun/19;12
jul/19;11.8
ago/19;11.8
set/19;11.8
out/19;11.6
nov/19;11.2
dez/19;11
