"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,19570000000,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,21462000000,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,25741462000,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,31186317000,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,13253348214.286,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,14427216902.336,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,17501662019.539,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,19743498563.537,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,13253348214.286,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,14511010281.397,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,16813427240.846,,
"AUS","Australia","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,19569006013.499,,
"BEL","Belgium","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,2074993899.6279,,
"BEL","Belgium","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,1994083668.59,,
"BEL","Belgium","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,1773396000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,457000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,528000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,396797000,"P","Provisional value"
"BEL","Belgium","I-INV-MTN-RD","Total road spending","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,1235000000,,
"BEL","Belgium","I-INV-MTN-RD","Total road spending","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,1338000000,,
